Category,Title,Intro,Image,Credits (sources),Tags,URL
"Techno, Matériaux",Le carbure de silicium amorphe : une force capable de supporter 10 voitures de taille moyenne,Une équipe de recherche basée aux Pays-bas  a récemment dévoilé un matériau nouveau et remarquable qui pourrait avoir un impact significatif sur le monde des sciences des matériaux : le carbure de silicium amorphe (a-SiC). La résistance à la traction de ce nouveau matériau est de 10 GigaPascal (GPa).,https://www.enerzine.com/wp-content/uploads/2023/11/arti_73506.jpg,,"a-SiC, carbure, materiau, Nano-corde, resistance, silicium amorphe, traction",https://www.enerzine.com/le-carbure-de-silicium-amorphe-une-force-capable-de-supporter-10-voitures-de-taille-moyenne/73506-2023-11
"Techno, Robotisation",Whizzy : le robot qui pourrait sauver le commerce de détail,Comment le commerce de détail en milieu rural peut-il être renforcé pour résister aux grands services de livraison en ligne ? C’est la question à laquelle s’attaquent actuellement les chercheurs du groupe d’optimisation des processus à l’ .  livrées dans la zone urbaine avec l’aide du robot d’achat ,https://www.enerzine.com/wp-content/uploads/2023/11/arti_73570.jpg,,"5G, commerce detail, livraison autonome, mol, myLOG, Whizzy",https://www.enerzine.com/whizzy-le-robot-qui-pourrait-sauver-le-commerce-de-detail/73570-2023-11
"Guide, Domotique",🛡️ Protégez votre vie privée et naviguez en toute liberté avec un VPN,"La protection de la vie privée et la sécurité en ligne sont des préoccupations majeures de nos jours. Avec la prolifération des menaces telles que le piratage, le vol de données et la surveillance en ligne, il est vivement conseillé d’adopter des mesures pour se protéger. C’est pourquoi des applications comme les VPN connaissent un essor fulgurant ces dernières années.   Il est donc important de choisir un bon fournisseur de VPN pour minimiser ces inconvénients. La politique de confidentialité du fournisseur La vitesse et la stabilité du réseau        ",https://www.enerzine.com/wp-content/uploads/2023/05/arti_55822.jpg,,,https://www.enerzine.com/protegez-votre-vie-privee-et-naviguez-en-toute-liberte-avec-un-vpn/55822-2023-05
Guide,Économisez 22% sur le chauffage grâce à un amplificateur,"Comment optimiser la chaleur d’un radiateur tout en ayant un meilleur rendement à basse température ? Dans le contexte énergétique actuel et la tension liée à la hausse des coûts de l’énergie, certaines solutions permettent d’augmenter le confort thermique d’un espace de travail ou de vie tout en faisant des économies d’énergie et réduisant ses émissions de CO2, et cela sans entreprendre de travaux.  il assure aux radiateurs une fonction optimale à basse température.  le fait de pouvoir baisser ces températures d’eau permet des économies d’énergie.",https://www.enerzine.com/wp-content/uploads/2023/06/arti_57446a.jpg,,,https://www.enerzine.com/economisez-22-sur-le-chauffage-grace-a-un-amplificateur/57446-2023-06
"Guide, Nomade",Boire de l’eau propre n’importe où : le secret des voyageurs,"Si vous aimez les loisirs de plein air, la randonnée, le camping, ou les voyages à l’étranger, l’eau potable sûre et propre reste une nécessité. L’accessoire Sawyer Micro Squeeze a été conçu pour combler ce besoin crucial, avec un filtre d’eau ultra-compact et léger, qui a le pouvoir de fournir une excellente filtration en toutes circonstances.",https://www.enerzine.com/wp-content/uploads/2023/06/arti_59322.jpg,,,https://www.enerzine.com/boire-de-leau-propre-nimporte-ou-le-secret-des-voyageurs/59322-2023-06
"Guide, Chauffage","FOGO Junior, le chauffage d’appoint qui apprend de vos habitudes",FOGO Junior béton fibré à ultra-haute performance  graphène Q : Qu’est-ce que le FOGO Junior? Q : Quels sont les avantages du FOGO Junior par rapport aux chauffages d’appoint traditionnels ? Q : Qu’est-ce qui rend FOGO Junior “intelligent” ? Q : Où sont fabriqués les produits FOGO ?,https://www.enerzine.com/wp-content/uploads/2023/07/arti_60478.jpg,,"chauffage, FOGO, graphene, ia",https://www.enerzine.com/fogo-junior-le-chauffage-dappoint-qui-apprend-de-vos-habitudes/60478-2023-07
"Techno, Matériaux",Une nouvelle technique pour faire glisser l’eau comme jamais auparavant,"Alors que l’eau interagit constamment avec les surfaces solides, une équipe de chercheurs a développé un mécanisme innovant pour rendre les surfaces glissantes pour les gouttelettes d’eau.  SAMs",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72843.jpg,,"eau, friction, glissance, gouttelette, monocouche, surface solide",https://www.enerzine.com/une-nouvelle-technique-pour-faire-glisser-leau-comme-jamais-auparavant/72843-2023-10
"Techno, Matériaux",Un matériau de 15 x 15cm capable de soulever une voiture de 2 tonnes,"Dans le domaine de la robotique, un matériau innovant a vu le jour, conçu à partir de cellulose nanofibres (CNFs) dérivées du bois. Ce matériau, une sorte d’hydrogel spécialement développé, a été mis au point par des chercheurs en Suède et en Allemagne. Il a la capacité de changer de forme, de se dilater et de se contracter à la demande lorsqu’il est contrôlé par des impulsions électroniques de moins de 1 volt. une force suffisante pour briser une petite brique",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72824.jpg,,"carbone, cellulose, electronique, hydrogel, impulsion, nanofibres, nanotube, robotique",https://www.enerzine.com/un-materiau-de-15-x-15cm-capable-de-soulever-une-voiture-de-2-tonnes/72824-2023-10
"Techno, Matériaux",Le graphite transformé en ‘or’ par des physiciens du MIT,"Dans une découverte étonnante, des physiciens du MIT ont réussi à transformer le graphite, communément connu sous le nom de mine de crayon, en un matériau aux propriétés inédites. En isolant cinq fines couches de graphite empilées dans un ordre spécifique, ils ont créé un matériau qui peut être ajusté pour présenter trois propriétés importantes jamais observées auparavant dans le graphite naturel. rhomboèdre pentacouche rhomboèdre pentacouche",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72684.jpg,,"graphene, graphite, rhomboedre, topologique, twistronique",https://www.enerzine.com/le-graphite-transforme-en-or-par-des-physiciens-du-mit/72684-2023-10
Techno,"Découvrez Figure 01, le robot humanoïde qui pourrait transformer l’industrie","Dans un monde où la technologie évolue à une vitesse fulgurante, l’impact de l’intelligence artificielle (IA) et de la robotique sur l’avenir de l’humanité est un sujet de discussion majeur.  , une entreprise dédiée à la création de robots humanoïdes polyvalents, se positionne comme un acteur clé dans cette révolution technologique. Son objectif ? Transformer notre façon de vivre et de travailler, tout en améliorant notre qualité de vie. Figure 01 construire des robots pour notre environnement humain  (IA) Robotique",https://www.enerzine.com/wp-content/uploads/2023/10/arti_71504.jpg,,"automatisation, Figure 01, ia, industrie, robotique",https://www.enerzine.com/decouvrez-figure-01-le-robot-humanoide-qui-pourrait-transformer-lindustrie/71504-2023-10
"Mobilité, Terrestre",Ducati dévoile le moteur monocylindre le plus puissant du monde,"Après une pause de 30 ans, Ducati revient à la production d’un monocylindre routier, inspiré par la légendaire Supermono 550. Le nouveau modèle, baptisé Superquadro Mono, promet de redéfinir les normes de performance dans sa catégorie. Desmodromic   Panigale 1299 moteur Panigale capable d’atteindre 10 250 tr/min* Termignoni diamètre de 116 mm box  in box Desmodromic Superquadro Mono  MotoGP Ducati",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72880.jpg,Source : Ducati / Crédit vidéo & Photos : Ducati,"Desmodromic, Ducati, monocylindre, performance, Superquadro Mono",https://www.enerzine.com/ducati-devoile-le-moteur-monocylindre-le-plus-puissant-du-monde/72880-2023-10
"Guide, Maison","Comment profiter des offres Prime Day, sans payer Amazon Prime ?","Prime Day est un événement exclusif organisé par Amazon pour ses membres Prime. Inauguré le 15 juillet 2015, l’événement a été conçu pour célébrer le 20e anniversaire de la société. Depuis lors, il est devenu un incontournable pour les adeptes du shopping en ligne. ventes flash promotions Bricolage Jardinage Cuisine et maison Amazon Prime n’est pas seulement un ticket d’entrée pour le Prime Day. Les membres Prime bénéficient également de nombreux autres avantages tout au long de l’année. Inscrivez-vous dès maintenant profiter de toutes les offres exceptionnelles du Prime Day",https://www.enerzine.com/wp-content/uploads/2023/07/arti_60951.jpg,,prime day,https://www.enerzine.com/comment-profiter-des-offres-prime-day-gratuitement-sans-payer-amazon-prime/60951-2023-07
"Techno, Laser",Les lasers MMF ouvrent la porte à de nombreuses applications passionnantes,"Dans le domaine de la photonique, le verrouillage de mode spatiotemporel (STML) et les solitons dissipatifs spatiotemporels (STDS) dans les lasers à fibres multimodes (MMF) sont des sujets de recherche passionnants. Cet article explore les défis et les avancées récentes dans ce domaine, ainsi que les perspectives d’avenir. STML STDS STML MMF STML STML STDS MMF",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73378.jpg,,"dispersion, intermodale, lasers MMF, photonique, STDS, STML",https://www.enerzine.com/les-lasers-mmf-ouvrent-la-porte-a-de-nombreuses-applications-passionnantes/73378-2023-11
"Techno, Industrie technologie",Transistor thermique : la clé pour refroidir nos puces informatiques ?,"Une équipe de chercheurs américains a dévoilé un transistor thermique entièrement solide et stable, une première en son genre, qui utilise un champ électrique pour contrôler le mouvement de la chaleur d’un dispositif à semi-conducteurs. Cette avancée pourrait ouvrir de nouvelles frontières dans la gestion de la chaleur des puces informatiques et améliorer notre compréhension de la régulation de la chaleur dans le corps humain. plus de 1 mégahertz, soit 1 million de cycles par seconde",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73505.jpg,"Source : Équipe de chercheurs de l’UCLA, Science, Nov. 3, 2023","Conductance thermique, Gestion chaleur, Interface moleculaire, Puce informatique, Transistor thermique",https://www.enerzine.com/transistor-thermique-la-cle-pour-refroidir-nos-puces-informatiques/73505-2023-11
"Techno, Intelligence artificielle",L’IA et l’oubli : un défi de plusieurs gigawattheures,"Alors que le sommet de l’IA bat son plein, les chercheurs sont désireux de soulever un problème très réel associé à la technologie – lui apprendre à oublier. La société est maintenant en effervescence avec l’IA moderne et ses capacités exceptionnelles ; nous sommes constamment rappelés de ses bénéfices potentiels, dans tant de domaines, imprégnant pratiquement toutes les facettes de nos vies – mais aussi de ses dangers. DNNs Large Language Models  dizaines de gigawattheures d’énergie  oublier les données douteuses, sans compromettre les performances globales de l’IA",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73382.jpg,,"biais, DNNs, ia, machine, oubli, vie privee",https://www.enerzine.com/lia-et-loubli-un-defi-de-plusieurs-gigawattheures/73382-2023-11
"Renouvelable, Solaire",136 hectares dédiés à l’énergie solaire : le projet ambitieux de Hultsfred,"Dans une initiative sans précédent, Solkompaniet et Bouygues Energies & Services, une filiale d’Equans, ont uni leurs forces pour construire le plus grand parc solaire photovoltaïque de Suède. Ce projet ambitieux, qui a débuté en octobre 2023, est en cours de réalisation sur l’aéroport de Hultsfred. 100 MW 136 hectares",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73502.jpg,Source : Solkompaniet & Bouygues Energies & Services – Crédit image,"bouygues, Hultsfred, parc solaire, renouvelable, Solkompaniet",https://www.enerzine.com/136-hectares-dedies-a-lenergie-solaire-le-projet-ambitieux-de-hultsfred/73502-2023-11
"Enviro, Déchets",Un biocapteur qui utilise des bactéries pour générer de l’électricité,"La décharge d’effluents organiques – déchets biodégradables provenant de plantes et d’animaux – dans les masses d’eau douce est une préoccupation environnementale majeure, affectant la santé et la durabilité de ces écosystèmes aquatiques.  biocapteur flottant MFC génèrent de l’électricité Geobacter Shewanella  Pseudomonas  biocapteur FMFC imprimé en 3D",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73381.jpg,,"bacterie, biocapteur, contamination, DCO, electrogene, MFC, organique",https://www.enerzine.com/un-biocapteur-qui-utilise-des-bacteries-pour-generer-de-lelectricite/73381-2023-11
"Techno, Quantique",L’Université de Lancaster révèle les secrets du superfluide hélium 3He,"Une équipe de chercheurs au Royaume-Uni a récemment dévoilé une nouvelle compréhension du comportement du superfluide hélium 3He, un système quantique macroscopique versatile. Cette découverte pourrait avoir des implications significatives dans divers domaines scientifiques. Nature Communications",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73380.jpg,,"bidimensionnel, helium 3He, physique quantique, superfluide, zero absolu",https://www.enerzine.com/luniversite-de-lancaster-revele-les-secrets-du-superfluide-helium-3he/73380-2023-11
"Renouvelable, Géothermie",14 660 ménages pourraient être chauffés par la chaleur des parkings souterrains à Berlin,"La chaleur émise par les moteurs de voiture réchauffe les parkings souterrains de telle manière que la chaleur traverse le sol et se diffuse dans les eaux souterraines.   31 parkings souterrains 0,65 péta-joules d’énergie sont émis chaque année à Berlin",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73379.jpg,,"chaleur, eaux, geothermique, parking, pompe, rechauffement, souterrain",https://www.enerzine.com/14-660-menages-pourraient-etre-chauffes-par-la-chaleur-des-parkings-souterrains-a-berlin/73379-2023-11
"Techno, Matériaux",Des décennies de recherche pour un supraconducteur à base de nickel,"Les prodiges de la technologie moderne – des ordinateurs qui tiennent dans la paume de votre main, des réfrigérateurs connectés à Internet, et des voitures autonomes – ne sont possibles que grâce à la magie de matériaux tels que le silicium. De la même manière, les gadgets de science-fiction de demain émergeront des nouveaux matériaux exotiques que les scientifiques découvrent aujourd’hui. supraconducteurs",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73376.jpg,Source : Laboratoire national d’accélérateurs SLAC du Département de l’énergie et Université Stanford,"materiaux, prix, reseau electrique, supraconducteur",https://www.enerzine.com/des-decennies-de-recherche-pour-un-supraconducteur-a-base-de-nickel/73376-2023-11
"Enviro, Risques",La pollution lumineuse : une menace qui augmente de 10% chaque année,La pollution lumineuse est un phénomène de plus en plus préoccupant qui perturbe les écosystèmes terrestres et aquatiques. Même des niveaux faibles de lumière artificielle peuvent avoir des conséquences surprenantes et loin d’être négligeables. Une nouvelle série d’études met en lumière l’ampleur de ce problème. prévalence de la pollution lumineuse perturbe les cycles de lumière naturelle ,https://www.enerzine.com/wp-content/uploads/2023/11/arti_73571.jpg,,"biodiversite, ecosysteme, lumiere artificielle, pollution lumineuse, sante humaine",https://www.enerzine.com/la-pollution-lumineuse-une-menace-qui-augmente-de-10-chaque-annee/73571-2023-11
"Mobilité, Terrestre",La surprenante cause des incendies de véhicules électriques,"Quelle est la probabilité qu’une batterie de véhicule électrique s’enflamme et explose de manière autonome ? Selon certaines analyses, les véhicules à essence seraient près de 30 fois plus susceptibles de prendre feu que les véhicules électriques. Des incidents récents de véhicules électriques prenant feu alors qu’ils étaient stationnés ont suscité par contre des interrogations chez de nombreux consommateurs et chercheurs. Comment ces événements rares peuvent-ils se produire ?",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73572.jpg,,"batterie, fuite thermique, microtomographie, vehicule electrique",https://www.enerzine.com/la-surprenante-cause-des-incendies-de-vehicules-electriques/73572-2023-11
"Techno, Nanotechnologie",Un nouveau peigne de fréquences permet d’identifier des molécules en 20 nanosecondes,Des systèmes laser connus sous le nom de peignes de fréquence sont capables d’identifier des molécules spécifiques avec une précision et une sensibilité sans précédent. Leur capacité à capturer des processus à grande vitesse était limitée jusqu’à présent. Une équipe de chercheurs a développé un système de peigne de fréquence capable de détecter la présence de molécules spécifiques dans un échantillon tous les 20 nanosecondes. impulsions supersoniques de CO2 Article ,https://www.enerzine.com/wp-content/uploads/2023/11/arti_73194.jpg,,"conception, frequence, molecule, moteur, Nanoseconde, peigne",https://www.enerzine.com/un-nouveau-peigne-de-frequences-permet-didentifier-des-molecules-en-20-nanosecondes/73194-2023-11
"Enviro, Santé","Imiter la rétine humaine, le défi relevé par une biopuce innovante","Une équipe internationale allemande a développé une biopuce (biochip) intelligent qui imite la rétine de l’œil. Ce type de bio-électronique, et d’autres similaires, pourraient aider à corriger les dysfonctionnements dans le corps et le cerveau.",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73573.jpg,,"artificiel, Biochip, bioelectronique, Maladie, neurodegenerative, reseau neuronal, Retine",https://www.enerzine.com/imiter-la-retine-humaine-le-defi-releve-par-une-biopuce-innovante/73573-2023-11
"Techno, Industrie technologie",Une technologie imite les papillons pour une détection du cancer à 99% de confiance,"Notre planète abrite de nombreuses créatures dotées de sens plus avancés que les humains. Les tortues peuvent détecter le champ magnétique de la Terre. Les crevettes mantis peuvent détecter la lumière polarisée. Les éléphants peuvent entendre des fréquences beaucoup plus basses que les humains. Les papillons peuvent percevoir une gamme plus large de couleurs, comme la lumière ultraviolette (UV).  Papilio xuthus nanocristaux de pérovskite UVA UVB  UVC  autofluorescence",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73687.jpg,,"capteur imagerie, cellule cancereuse, lumiere UV, nanocristaux, papillons, perovskite",https://www.enerzine.com/une-technologie-imite-les-papillons-pour-une-detection-du-cancer-a-99-de-confiance/73687-2023-11
"Techno, Recherche",Un gel magnétique qui cicatrise les plaies diabétiques 3 fois plus rapidement,"Les patients diabétiques, dont les capacités naturelles de cicatrisation sont compromises, développent souvent des plaies chroniques qui tardent à guérir. Ces plaies non cicatrisantes peuvent causer de graves infections entraînant des conséquences douloureuses telles que l’amputation d’un membre.  cicatrise les plaies   environ trois fois plus rapidement ",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73713.jpg,,"cicatrisation, diabétique, gel, innovation, magnetique, NUS, plaie",https://www.enerzine.com/un-gel-magnetique-qui-cicatrise-les-plaies-diabetiques-3-fois-plus-rapidement/73713-2023-11
"Techno, Batterie",La photo-batterie : une charge rapide en moins de 15 minutes,"L’efficacité énergétique des produits de consommation et des bâtiments peut être améliorée grâce à l’utilisation de dispositifs et de capteurs intelligents interconnectés. Ces derniers, développés dans le cadre du concept de l’Internet des Objets, nécessitent des sources d’énergie aussi compactes que possible pour fonctionner de manière autonome. ",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73838.jpg,,"dispositif, efficacite energetique, miniature, organique, photo-batterie, polymere",https://www.enerzine.com/la-photo-batterie-une-charge-rapide-en-moins-de-15-minutes/73838-2023-11
"Enviro, Risques",Une nouvelle approche élimine plus de 99% de pétrole dans l’eau,"La pollution marine, un sujet qui suscite de plus en plus d’inquiétudes à l’échelle mondiale, est de nouveau sous les feux de la rampe. Parmi les problèmes environnementaux marins traditionnels, la pollution par le pétrole est l’un des plus graves.  absorbeur de bois ",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73729.jpg,,"Absorbeur, bois, energie, marine, petrole, pollution, solaire",https://www.enerzine.com/une-nouvelle-approche-elimine-plus-de-99-de-petrole-dans-leau/73729-2023-11
"Mobilité, Spatial","30 participants, 1 solution : les vibrateurs contre la désorientation spatiale","Perdre le sens de l’orientation peut être fatal pour les pilotes d’avion : la désorientation spatiale est l’une des principales causes d’accidents d’avion mortels. Mais perdre le sens de l’orientation dans l’espace est encore plus dangereux. Les scientifiques ont maintenant mis au point des dispositifs portables appelés vibrateurs qui, associés à une formation spécialisée, améliorent la capacité des personnes à lutter contre la désorientation spatiale et pourraient aider les astronautes à se corriger lorsqu’ils ne peuvent plus se fier à leurs perceptions. vibrateurs  joystick points d’équilibre 40 essais Article traduit de l’auteur ",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73746.jpg,"Article traduit de l’auteur  : Angharad Brewer Gillham, rédactrice scientifique à Frontières. Source :  https://blog.frontiersin.org/2023/11/03/wearable-devices-may-prevent-astronauts-getting-lost-in-space/","Desorientation, Repere, spatial, Vibrateur, vol",https://www.enerzine.com/30-participants-1-solution-les-vibrateurs-contre-la-desorientation-spatiale/73746-2023-11
"Mobilité, Aérien",Des médicaments livrés par les airs : l’Écosse teste les drones médicaux,"Un projet ambitieux visant à mettre en place le premier réseau national britannique de distribution médicale par drones a franchi une étape importante en réalisant des essais de vol en conditions réelles. Ce projet, mené par l’ , pourrait changer radicalement la manière dont les soins de santé sont dispensés en Écosse. consortium CAELUS",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73863.jpg,,"CAELUS, drone, ecosse, livraison, medicale, sante, soins",https://www.enerzine.com/des-medicaments-livres-par-les-airs-lecosse-teste-les-drones-medicaux/73863-2023-11
"Enviro, Durable",Comment parler d’écologie en entreprise ?,"Une entreprise pérenne qui se développe sans cesse sur son marché prend irrémédiablement en compte toutes les considérations RSE. Économies, sociales et écologiques s’alignent ainsi de concert pour la réussite de l’entreprise. Le volet écologique est particulièrement transversal et se met en place sur divers aspects de la vie d’une boîte, de la réflexion autour des matières premières jusqu’à la sensibilisation de ces collaborateurs qui peut se faire via une conférence d’entreprise.",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72973.jpg,,,https://www.enerzine.com/comment-parler-decologie-en-entreprise/72973-2023-11
"Enviro, Santé",La peau de requin : une source insoupçonnée de traitements médicaux,"Les requins se distinguent des autres poissons à bien des égards, notamment par leur capacité apparemment remarquable à guérir des blessures. Cette capacité de guérison, bien que non encore documentée dans des conditions de laboratoire contrôlées, pourrait avoir un potentiel biomédical significatif.  Aiguillat commun",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73820.jpg,,"biomedecine, guerison, mucus, peau, requins",https://www.enerzine.com/la-peau-de-requin-une-source-insoupconnee-de-traitements-medicaux/73820-2023-11
"Energie, Non Renouvelable, Nucléaire",L’horloge nucléaire : une précision mille fois supérieure à l’horloge atomique standard,"Une équipe internationale de chercheurs a franchi une étape majeure vers le développement d’une nouvelle génération d’horloges atomiques. Ces horloges ont un énorme potentiel qui pourrait affecter la science fondamentale et diverses industries, de la physique nucléaire à la navigation par satellite et aux télécommunications. scandium-45 ",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73786.jpg,,"horloge nucleaire, mesure, precision, scandium-45, temps",https://www.enerzine.com/lhorloge-nucleaire-une-precision-mille-fois-superieure-a-lhorloge-atomique-standard/73786-2023-11
