Category,Title,Intro,Image,Credits (sources),Tags,Article URL
"Guide, Loisir",Robots de piscine : la technologie qui libère votre temps libre,"Les joies de la piscine jouent les prolongations cet été dès lors que les  températures sont de la partie. Mais qui dit piscine, dit aussi corvée d’entretien. Heureusement, il existe une solution pour vous décharger des corvées de nettoyage : les robots de piscine.  Zodiac Dolphin AIPER et WYBOT Électrique Vortex OV 3485 Électrique TornaX OT 2100 Hydraulique MX8 Dolphin E30 Dolphin T15  Dolphin E35 AIPER Seagull SE  AIPER Seagull Plus AIPER Seagull PRO WYBOT Osprey 200max WYBOT Osprey 300 II  WYBOT Osprey 700",https://www.enerzine.com/wp-content/uploads/2023/09/arti_65421.jpg,,,https://www.enerzine.com/robots-de-piscine-la-technologie-qui-libere-votre-temps-libre/65421-2023-09
"Techno, Industrie énergie","Le film polymère, une solution de refroidissement sans consommation d’énergie","La gestion thermique, qu’elle soit domestique ou industrielle, représente une part significative de la consommation énergétique mondiale. Maintenir efficacement la température souhaitée avec un minimum d’apport énergétique est crucial, tant d’un point de vue économique qu’environnemental.   film polymère en rouleau pour  concept de métasurface  PMRC",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72984.jpg,,"consommation energetique, film polymere, gestion thermique, metasurface, refroidissement radiatif",https://www.enerzine.com/le-film-polymere-une-solution-de-refroidissement-sans-consommation-denergie/72984-2023-10
"Techno, Recherche",Contrôler le magnétisme sans fil : une première mondiale,"Les appareils électroniques dépendent de la manipulation des propriétés électriques et magnétiques de leurs composants, que ce soit pour le calcul ou le stockage d’informations, entre autres processus. Le contrôle du magnétisme à l’aide de la tension plutôt que des courants électriques est devenu une méthode de contrôle très importante pour améliorer l’efficacité énergétique de nombreux appareils, car les courants chauffent les circuits.  CoN memristors Wireless magneto-ionics: voltage control of magnetism by bipolar electrochemistry",https://www.enerzine.com/wp-content/uploads/2023/10/arti_73094.jpg,"Source : Département de physique de l’UAB, ICMAB, Institut de microélectronique de Barcelone CNM-CSIC, Synchrotron ALBA","cobalt, controle, efficacite energetique, magnetisme, nitrure, sans fil, tension",https://www.enerzine.com/controler-le-magnetisme-sans-fil-une-premiere-mondiale/73094-2023-10
"Guide, Domotique",🛡️ Protégez votre vie privée et naviguez en toute liberté avec un VPN,"La protection de la vie privée et la sécurité en ligne sont des préoccupations majeures de nos jours. Avec la prolifération des menaces telles que le piratage, le vol de données et la surveillance en ligne, il est vivement conseillé d’adopter des mesures pour se protéger. C’est pourquoi des applications comme les VPN connaissent un essor fulgurant ces dernières années.   Il est donc important de choisir un bon fournisseur de VPN pour minimiser ces inconvénients. La politique de confidentialité du fournisseur La vitesse et la stabilité du réseau        ",https://www.enerzine.com/wp-content/uploads/2023/05/arti_55822.jpg,,,https://www.enerzine.com/protegez-votre-vie-privee-et-naviguez-en-toute-liberte-avec-un-vpn/55822-2023-05
Guide,Économisez 22% sur le chauffage grâce à un amplificateur,"Comment optimiser la chaleur d’un radiateur tout en ayant un meilleur rendement à basse température ? Dans le contexte énergétique actuel et la tension liée à la hausse des coûts de l’énergie, certaines solutions permettent d’augmenter le confort thermique d’un espace de travail ou de vie tout en faisant des économies d’énergie et réduisant ses émissions de CO2, et cela sans entreprendre de travaux.  il assure aux radiateurs une fonction optimale à basse température.  le fait de pouvoir baisser ces températures d’eau permet des économies d’énergie.",https://www.enerzine.com/wp-content/uploads/2023/06/arti_57446a.jpg,,,https://www.enerzine.com/economisez-22-sur-le-chauffage-grace-a-un-amplificateur/57446-2023-06
"Techno, Matériaux",La recherche sur les matériaux entre dans l’ère de l’apprentissage actif,"Dans le domaine de la recherche de nouveaux matériaux pour les technologies futures, un nouvel algorithme basé sur l’apprentissage automatique promet d’accélérer considérablement le processus.  les matériaux composés de cinq éléments ou plus sont particulièrement intéressants Felix Thelen Active Learning Felix Thelen",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72902.jpg,,"algorithme, Apprentissage actif, energetique, Felix Thelen, recherche, transition",https://www.enerzine.com/la-recherche-sur-les-materiaux-entre-dans-lere-de-lapprentissage-actif/72902-2023-10
"Techno, Optique",400 000 pixels : la nouvelle frontière de la caméra supraconductrice,"Les chercheurs de l’Institut National des Normes et de la Technologie ( ) et leurs collègues ont mis au point une caméra supraconductrice contenant 400 000 pixels, soit 400 fois plus que tout autre appareil de ce type. Cette innovation pourrait ouvrir de nombreuses nouvelles applications dans le domaine de la science et de la recherche biomédicale. pixel . Oct. 26, ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72960.jpg,,"biomedicale, camera, detecteur, imagerie, nist, photon, scientifique, supraconductrice",https://www.enerzine.com/400-000-pixels-la-nouvelle-frontiere-de-la-camera-supraconductrice/72960-2023-10
"Energie, Non Renouvelable, Nucléaire",9 000 armes nucléaires non comptabilisées : une nouvelle technologie pour les surveiller,"Surveiller la conformité des États aux traités de désarmement n’est pas une tâche facile. Une équipe internationale a exploré la surveillance à distance à l’aide de deux antennes et de quelques miroirs. Une nouvelle méthode pour surveiller les traités de désarmement nucléaire a été proposée par une équipe de recherche internationale. le retrait d’une tête   stockée, peuvent ainsi être détectés de manière fiable Nature Communications",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72983.jpg,"Source : Nature Communications, 17 octobre 2023","desarmement, miroir, ondes radio, securite nucleaire, surveillance",https://www.enerzine.com/9-000-armes-nucleaires-non-comptabilisees-une-nouvelle-technologie-pour-les-surveiller/72983-2023-10
"Guide, Nomade",Boire de l’eau propre n’importe où : le secret des voyageurs,"Si vous aimez les loisirs de plein air, la randonnée, le camping, ou les voyages à l’étranger, l’eau potable sûre et propre reste une nécessité. L’accessoire Sawyer Micro Squeeze a été conçu pour combler ce besoin crucial, avec un filtre d’eau ultra-compact et léger, qui a le pouvoir de fournir une excellente filtration en toutes circonstances.",https://www.enerzine.com/wp-content/uploads/2023/06/arti_59322.jpg,,,https://www.enerzine.com/boire-de-leau-propre-nimporte-ou-le-secret-des-voyageurs/59322-2023-06
"Guide, Chauffage","FOGO Junior, le chauffage d’appoint qui apprend de vos habitudes",FOGO Junior béton fibré à ultra-haute performance  graphène Q : Qu’est-ce que le FOGO Junior? Q : Quels sont les avantages du FOGO Junior par rapport aux chauffages d’appoint traditionnels ? Q : Qu’est-ce qui rend FOGO Junior “intelligent” ? Q : Où sont fabriqués les produits FOGO ?,https://www.enerzine.com/wp-content/uploads/2023/07/arti_60478.jpg,,"chauffage, FOGO, graphene, ia",https://www.enerzine.com/fogo-junior-le-chauffage-dappoint-qui-apprend-de-vos-habitudes/60478-2023-07
"Guide, Maison","Comment profiter des offres Prime Day, sans payer Amazon Prime ?","Prime Day est un événement exclusif organisé par Amazon pour ses membres Prime. Inauguré le 15 juillet 2015, l’événement a été conçu pour célébrer le 20e anniversaire de la société. Depuis lors, il est devenu un incontournable pour les adeptes du shopping en ligne. ventes flash promotions Bricolage Jardinage Cuisine et maison Amazon Prime n’est pas seulement un ticket d’entrée pour le Prime Day. Les membres Prime bénéficient également de nombreux autres avantages tout au long de l’année. Inscrivez-vous dès maintenant profiter de toutes les offres exceptionnelles du Prime Day",https://www.enerzine.com/wp-content/uploads/2023/07/arti_60951.jpg,,prime day,https://www.enerzine.com/comment-profiter-des-offres-prime-day-gratuitement-sans-payer-amazon-prime/60951-2023-07
"Energie, Non Renouvelable, Nucléaire",Carbure de silicium : le matériau clé pour les réacteurs nucléaires de demain,"NAAREA, une entreprise française innovante, franchit une étape clé dans le développement de son micro-réacteur nucléaire à sels fondus et neutrons rapides. En collaboration avec Mersen et le laboratoire  , l’entreprise conçoit la première boucle à sels fondus en carbure de silicium pour étudier la robustesse du matériau et les phénomènes d’interaction sel-gaz. Mersen réacteurs de 4e génération ICAR-CM2T NAAREA ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_69488.jpg,,"carbure silicium, ICAR-CM2T, mersen, micro-reacteur, NAAREA",https://www.enerzine.com/carbure-de-silicium-le-materiau-cle-pour-les-reacteurs-nucleaires-de-demain/69488-2023-10
Techno,"Découvrez Figure 01, le robot humanoïde qui pourrait transformer l’industrie","Dans un monde où la technologie évolue à une vitesse fulgurante, l’impact de l’intelligence artificielle (IA) et de la robotique sur l’avenir de l’humanité est un sujet de discussion majeur.  , une entreprise dédiée à la création de robots humanoïdes polyvalents, se positionne comme un acteur clé dans cette révolution technologique. Son objectif ? Transformer notre façon de vivre et de travailler, tout en améliorant notre qualité de vie. Figure 01 construire des robots pour notre environnement humain  (IA) Robotique",https://www.enerzine.com/wp-content/uploads/2023/10/arti_71504.jpg,,"automatisation, Figure 01, ia, industrie, robotique",https://www.enerzine.com/decouvrez-figure-01-le-robot-humanoide-qui-pourrait-transformer-lindustrie/71504-2023-10
"Techno, Intelligence artificielle",Des transistors de 28 nanomètres pour une IA deux fois plus puissante,"Hussam Amrouch, professeur à l’Université Technique de Munich (TUM), a développé une architecture prête pour l’IA qui est deux fois plus puissante que les approches comparables de calcul en mémoire. Cette avancée pourrait s’avérer utile pour  , les algorithmes d’apprentissage profond et les applications robotiques dans quelques années.",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72326.jpg,,"architecture, ia, performance, puce, transistor",https://www.enerzine.com/des-transistors-de-28-nanometres-pour-une-ia-deux-fois-plus-puissante/72326-2023-10
Techno,La clé de la stabilité des cellules solaires pourrait résider dans ce matériau,"L’efficacité des cellules solaires a connu une augmentation significative ces dernières années grâce à des matériaux capteurs de lumière tels que les pérovskites halogénées. La capacité à les produire de manière fiable et à grande échelle reste encore un défi. Un processus développé par Aditya Mohite, ingénieur chimique et biomoléculaire à l’Université Rice, et ses collaborateurs pourrait changer la donne. confinement spatial contrôlé cinétiquement Nature Synthesis pérovskites d’halogénure 2D",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72327.jpg,"Source : Aditya Mohite et ses collaborateurs de l’Université Northwestern, de l’Université de Pennsylvanie et de l’Université de Rennes. Étude publiée dans Nature Synthesis.","conductivite, confinement, electrique, optoélectronique, perovskites 2D, photovoltaique, spatial",https://www.enerzine.com/la-cle-de-la-stabilite-des-cellules-solaires-pourrait-resider-dans-ce-materiau/72327-2023-10
"Techno, Matériaux",Des cristaux ultrafins vibrent sous l’effet de la lumière infrarouge,"L’union de l’électronique et de la lumière infrarouge ouvre la voie à des dispositifs de petite taille, rapides et sensibles pour la détection, l’imagerie et la signalisation au niveau moléculaire. La réalisation de tels dispositifs nécessite des matériaux de haute qualité.  dépôt de vapeur à la flamme (FVD) nanorubans ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72366.jpg,,"FVD, infrarouge, molybdene, Nano-Spectroscopie, nanocristaux, oxyde, synchrotron",https://www.enerzine.com/des-cristaux-ultrafins-vibrent-sous-leffet-de-la-lumiere-infrarouge/72366-2023-10
"Techno, Matériaux",La fatigue des métaux : un défi de deux siècles enfin surmonté ?,"Il est estimé que plus de 80% des défaillances en ingénierie sont dues à la fatigue des matériaux. La lutte contre la fatigue des métaux est donc un enjeu majeur pour les structures légères de tous les systèmes mécaniques comme les avions, les automobiles et les systèmes de production d’énergie.  fusion sur lit de poudre par laser",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72126.jpg,,"alliage, aluminium, fatigue, impression 3D, metaux, resistance",https://www.enerzine.com/la-fatigue-des-metaux-un-defi-de-deux-siecles-enfin-surmonte/72126-2023-10
"Techno, Batterie",EAM investit 650 M$ dans une usine d’anodes en Caroline du Nord,"Epsilon Advanced Materials (EAM), le leader indien des matériaux pour batteries, a fait une annonce majeure qui pourrait avoir un impact significatif sur l’industrie des véhicules électriques aux États-Unis.  650 millions de dollars Vikram Handa Sunit Kapur",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72576.jpg,,"anode, batterie, caroline du nord, EAM, graphite, vehicule electrique",https://www.enerzine.com/eam-investit-650-m-dans-une-usine-danodes-en-caroline-du-nord/72576-2023-10
"Renouvelable, Solaire",Des carburants solaires produits à partir de 1000 soleils,"Grâce à une nouvelle technique d’impression 3D, des chercheurs de l’ETH Zurich ont mis au point des structures céramiques spéciales pour un réacteur solaire. Les premiers tests expérimentaux montrent que ces structures peuvent augmenter le rendement de production des carburants solaires. processus thermochimiques   syngas ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72583.jpg,,"ceramique, impression 3D, reacteur, solaire, syngaz",https://www.enerzine.com/des-carburants-solaires-produits-a-partir-de-1000-soleils/72583-2023-10
"Enviro, Santé",La fluorescence au service de la détection des polluants (PFAS),"Les PFAS, une famille de substances hautement fluorées, représentent un danger pour les humains et l’environnement. Des membres particulièrement problématiques de cette famille, tels que le sulfonate de perfluorooctane (PFOS) et l’acide perfluorooctanoïque (PFOA), semblent causer des dommages aux organes et le cancer, ainsi que perturber le système endocrinien. mesures de fluorescence",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72584.jpg,Source : Journal Angewandte Chemie,"contamination, detection, eau potable, fluorescence, PFAS",https://www.enerzine.com/la-fluorescence-au-service-de-la-detection-des-polluants-pfas/72584-2023-10
"Techno, Batterie",Les électrodes à nanotubes creux améliorent les performances des batteries potassium-ion,"Dans la quête incessante de solutions de stockage d’énergie plus efficaces et plus durables, les chercheurs se tournent vers une nouvelle technologie prometteuse : les batteries à ions potassium. Ces batteries fonctionnent de manière similaire aux batteries lithium-ion largement utilisées aujourd’hui, mais avec un avantage clé : le potassium est une ressource abondante.  NiCo2Se4",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72585.jpg,,"batterie, ions, nanotube, NiCo2Se4, potassium, selenisation",https://www.enerzine.com/les-electrodes-a-nanotubes-creux-ameliorent-les-performances-des-batteries-potassium-ion/72585-2023-10
"Techno, Industrie énergie",Une turbine de la taille d’un bureau pour alimenter jusqu’à 10 000 foyers,"L’inauguration de l’installation pilote de la Supercritical Transformational Electric Power (STEP) Demo a été récemment réalisée. Cette installation d’essai de dioxyde de carbone supercritique (sCO2) de 10 mégawatts, d’une valeur de 155 millions de dollars, située au siège du   à San Antonio, va démontrer une nouvelle méthode innovante de production d’électricité à plus haut rendement et à moindre coût. STEP ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72628.jpg,,"efficacite, energie, innovation, production, sCO2, STEP Demo",https://www.enerzine.com/une-turbine-de-la-taille-dun-bureau-pour-alimenter-jusqua-10-000-foyers/72628-2023-10
"Techno, Batterie",La technologie qui pourrait mettre fin aux incendies de batteries,Des chercheurs américains ont mis au point une technologie innovante qui pourrait permettre aux véhicules électriques de nouvelle génération et à d’autres appareils d’être moins sujets aux incendies de batteries tout en augmentant le stockage d’énergie. 750 000 véhicules électriques Solid Power,https://www.enerzine.com/wp-content/uploads/2023/10/arti_72629.jpg,,"batteries, Dendrites, lithium, technologie, Véhicules électriques",https://www.enerzine.com/la-technologie-qui-pourrait-mettre-fin-aux-incendies-de-batteries/72629-2023-10
"Techno, Quantique",COSMOS : 5 ans pour développer le logiciel universel de simulation quantique,"Pour la première fois, des scientifiques développeront un cadre logiciel universel pour les simulations, éliminant de nombreux obstacles à une compréhension plus profonde du monde quantique.  ESPRC",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72631.jpg,,"COSMOS, logiciel, quantique, recherche, simulations, universel",https://www.enerzine.com/cosmos-5-ans-pour-developper-le-logiciel-universel-de-simulation-quantique/72631-2023-10
"Techno, Quantique",L’ère des réseaux neuronaux quantiques hybrides a commencé,La construction de réseaux neuronaux quantiques efficaces est une direction prometteuse pour la recherche à l’intersection de l’informatique quantique et de l’apprentissage automatique.  perceptron multicouche modèles et des relations complexes hyperparamètres perceptron multicouche perceptrons ,https://www.enerzine.com/wp-content/uploads/2023/10/arti_72632.jpg,,"apprentissage, automatique, hybride, multicouche, neuronaux, perceptron, quantique, reseaux",https://www.enerzine.com/lere-des-reseaux-neuronaux-quantiques-hybrides-a-commence/72632-2023-10
"Techno, Matériaux",Les nanohybrides à base de POM : une révolution pour les 100 prochaines années ?,"Dans le domaine de la science des matériaux, une nouvelle classe de matériaux hybrides à l’échelle nanométrique pourrait révolutionner la durabilité dans divers secteurs industriels. La recherche sur ces substances, appelées nanohybrides à base de polyoxométalates (POM), n’en est qu’à ses débuts. Un groupe de chercheurs a récemment publié une étude exhaustive des progrès réalisés dans ce secteur et des défis à relever. POM  propriétés catalytiques uniques ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72586.jpg,,"durabilite, energie propre, materiaux, Nanohybrides, POM",https://www.enerzine.com/les-nanohybrides-a-base-de-pom-une-revolution-pour-les-100-prochaines-annees/72586-2023-10
"Techno, Quantique",L’informatique quantique et conventionnelle : une alliance inattendue,L’ère de l’informatique quantique ouvre des perspectives autrefois inimaginables pour résoudre des problèmes considérés comme hors de portée des ordinateurs conventionnels. Les capacités de calcul des ordinateurs quantiques actuels sont encore relativement limitées.  QUBO  QUBO  Science Advances,https://www.enerzine.com/wp-content/uploads/2023/10/arti_72630.jpg,,"calcul, informatique, moleculaire, polymere, quantique, QUBO",https://www.enerzine.com/linformatique-quantique-et-conventionnelle-une-alliance-inattendue/72630-2023-10
"Techno, Matériaux",Le graphite transformé en ‘or’ par des physiciens du MIT,"Dans une découverte étonnante, des physiciens du MIT ont réussi à transformer le graphite, communément connu sous le nom de mine de crayon, en un matériau aux propriétés inédites. En isolant cinq fines couches de graphite empilées dans un ordre spécifique, ils ont créé un matériau qui peut être ajusté pour présenter trois propriétés importantes jamais observées auparavant dans le graphite naturel. rhomboèdre pentacouche rhomboèdre pentacouche",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72684.jpg,,"graphene, graphite, rhomboedre, topologique, twistronique",https://www.enerzine.com/le-graphite-transforme-en-or-par-des-physiciens-du-mit/72684-2023-10
"Techno, Matériaux",L’automatisation et l’IA accélèrent la recherche de matériaux solaires,"La quête du matériau idéal pour la fabrication de cellules solaires est une tâche colossale. Une équipe de recherche nipponne utilise des systèmes robotiques et l’intelligence artificielle pour rendre cette recherche plus rapide et plus efficace. L’énergie solaire est l’une des voies les plus prometteuses pour alimenter le monde de demain. Pourtant, la création de cellules solaires plus efficaces nécessite la découverte de matériaux nouveaux et améliorés.",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72685.jpg,,"energie solaire, ia, materiaux solaires, recherche, robots",https://www.enerzine.com/lautomatisation-et-lia-accelerent-la-recherche-de-materiaux-solaires/72685-2023-10
"Renouvelable, Biomasse",Des enzymes qui défient la nature pour une meilleure production de biocarburants,"Dans une ère où la recherche de sources d’énergie renouvelables est devenue une priorité, des biologistes végétaux du Laboratoire National de Brookhaven (USA) ont mis au point des enzymes pour modifier les plantes herbacées afin que leur biomasse puisse être convertie plus efficacement en biocarburants et autres bioproduits. monolignol 4-O-méthyltransférases ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72686.jpg,,"biocarburant, biomasse, enzyme, lignine, monolignol",https://www.enerzine.com/des-enzymes-qui-defient-la-nature-pour-une-meilleure-production-de-biocarburants/72686-2023-10
"Energie, Non Renouvelable, Nucléaire","Micro-réacteur eVinci : 5 MW d’électricité, 24/7 pendant plus de huit ans",Westinghouse a annoncé l’ouverture d’une nouvelle installation de conception et de fabrication près du centre-ville de Pittsburgh en Pennsylvanie (USA) pour accélérer la commercialisation du micro-réacteur eVinci™. Cette annonce marque ainsi une étape clé dans le développement de technologies nucléaires. tuyaux de chaleur  5 mégawatts d’électricité,https://www.enerzine.com/wp-content/uploads/2023/10/arti_72687.jpg,,"energie nucleaire, eVinci, micro-reacteur, pennsylvanie, westinghouse",https://www.enerzine.com/micro-reacteur-evinci-5-mw-delectricite-24-7-pendant-plus-de-huit-ans/72687-2023-10
"Mobilité, Terrestre",Lexus dévoile ses nouveaux modèles de concept électriques,"Lors de l’inauguration du   , Lexus a présenté des concepts cars sous le thème “Repousser les limites de l’expérience électrique”, envisageant de nouvelles possibilités pour la mobilité grâce aux voitures électriques.  LF-ZC BEV LF-ZL concept LF-ZC concept LF-ZL ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72741.jpg,,"2035, électrification, lexus, LF-ZC, LF-ZL",https://www.enerzine.com/lexus-devoile-ses-nouveaux-modeles-de-concept-electriques/72741-2023-10
"Techno, Robotisation",Un bras de robot avec une amplitude de mouvement sans précédent,"Dans le laboratoire CREATE de l’École polytechnique fédérale de Lausanne ( ), sous la direction de Josie Hughes, une importante découverte a été réalisée dans le domaine de la robotique douce. S’inspirant du mouvement polyvalent des trompes d’éléphant et des tentacules de poulpe, l’équipe a introduit le héliocoïde élagué – une nouvelle structure robotique qui promet une plus grande conformité et contrôle dans les conceptions robotiques.  héliocoïde Helix Robotics",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72774.jpg,,"bras, flexible, Helix Robotics, humain-robot, interaction, robot, robotique",https://www.enerzine.com/un-bras-de-robot-avec-une-amplitude-de-mouvement-sans-precedent/72774-2023-10
"Techno, Impression",Vers un remplacement des plastiques dans l’impression 3D par des résines durables ?,"Une équipe d’ingénieurs agricoles et biologiques de l’Université Penn State travaille sur le développement d’un matériau de résine durable, composé de composants dérivés de l’agriculture, qui pourrait potentiellement remplacer les plastiques utilisés dans l’impression 3D de grand format. nanocellulose National Institute of Food and Agriculture",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72790.jpg,,"Bioeconomie, impression 3D, lignine, nanocellulose, resine durable",https://www.enerzine.com/vers-un-remplacement-des-plastiques-dans-limpression-3d-par-des-resines-durables/72790-2023-10
"Techno, Robotisation",CurveQuad : le robot qui rampe et marche à l’échelle du centimètre,"Dans le domaine de la robotique, une nouvelle approche simplifiée pour la conception et la fabrication de robots marcheurs et rampants à l’échelle du centimètre a été développée.  CurveQuad nuées de robots CurveQuad  CurveQuad ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72803.jpg,,"CurveQuad, origami, plis courbes, robot",https://www.enerzine.com/curvequad-le-robot-qui-rampe-et-marche-a-lechelle-du-centimetre/72803-2023-10
